kind,domain,source,title,published_at,slug,currencies,id,url,created_at,votes,coin,body,title_sentiment,title_sentiment_label,title_sentiment_score,title_entities,body_sentiment,body_sentiment_label,body_sentiment_score,body_entities,global_sentiment_score,global_sentiment_label
media,youtube.com,"{'title': 'Anthony Pompliano', 'region': 'en', 'domain': 'youtube.com', 'path': None, 'type': 'media'}",Insider Reveals What Trump Really Thinks of Bitcoin,2025-04-16 21:00:49+00:00,Insider-Reveals-What-Trump-Really-Thinks-of-Bitcoin,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21115354,https://cryptopanic.com/news/21115354/Insider-Reveals-What-Trump-Really-Thinks-of-Bitcoin?mtm_campaign=API-OFA,2025-04-16T21:00:49Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin,,"{'label': 'neutral', 'score': 0.9596178531646729}",neutral,0.9596178531646729,"{'crypto_entities': [{'text': 'bitcoin', 'type': 'CRYPTO', 'symbol': 'BTC', 'score': 1.0, 'start': 44, 'end': 51}], 'money_entities': [], 'percentage_entities': []}","{'label': 'neutral', 'score': 0.5}",neutral,0.5,"{'crypto_entities': [], 'money_entities': [], 'percentage_entities': []}",0.821732497215271,positive
news,thestreet.com,"{'title': 'The Street Crypto', 'region': 'en', 'domain': 'thestreet.com', 'path': None, 'type': 'feed'}",Blockdaemon CEO issues stark warning to crypto founders,2025-04-16 20:55:00+00:00,Blockdaemon-CEO-issues-stark-warning-to-crypto-founders,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21115476,https://cryptopanic.com/news/21115476/Blockdaemon-CEO-issues-stark-warning-to-crypto-founders?mtm_campaign=API-OFA,2025-04-16T20:55:00Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin,,"{'label': 'neutral', 'score': 0.7729402780532837}",neutral,0.7729402780532837,"{'crypto_entities': [], 'money_entities': [], 'percentage_entities': []}","{'label': 'neutral', 'score': 0.5}",neutral,0.5,"{'crypto_entities': [], 'money_entities': [], 'percentage_entities': []}",0.6910581946372986,positive
news,coinpedia.org,"{'title': 'coinpedia', 'region': 'en', 'domain': 'coinpedia.org', 'path': None, 'type': 'feed'}","Gold Price Soars Past $3,340: When Will Bitcoin Price Catch Up?",2025-04-16 20:39:46+00:00,Gold-Price-Soars-Past-3340-When-Will-Bitcoin-Price-Catch-Up,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'S', 'title': 'Sonic (prev. FTM)', 'slug': 'sonic-3', 'url': 'https://cryptopanic.com/news/sonic-3/'}]",21114856,https://cryptopanic.com/news/21114856/Gold-Price-Soars-Past-3340-When-Will-Bitcoin-Price-Catch-Up?mtm_campaign=API-OFA,2025-04-16T20:39:46Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin,,"{'label': 'neutral', 'score': 0.8078582882881165}",neutral,0.8078582882881165,"{'crypto_entities': [{'text': 'bitcoin', 'type': 'CRYPTO', 'symbol': 'BTC', 'score': 1.0, 'start': 38, 'end': 45}], 'money_entities': [], 'percentage_entities': []}","{'label': 'neutral', 'score': 0.5}",neutral,0.5,"{'crypto_entities': [], 'money_entities': [], 'percentage_entities': []}",0.7155008018016815,positive
news,cointelegraph.com,"{'title': 'CoinTelegraph', 'region': 'en', 'domain': 'cointelegraph.com', 'path': None, 'type': 'feed'}","Bitcoin rally to $86K shows investor confidence, but it’s too early to confirm a trend reversal",2025-04-16 20:34:45+00:00,Bitcoin-rally-to-86K-shows-investor-confidence-but-its-too-early-to-confirm-a-trend-reversal,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21114855,https://cryptopanic.com/news/21114855/Bitcoin-rally-to-86K-shows-investor-confidence-but-its-too-early-to-confirm-a-trend-reversal?mtm_campaign=API-OFA,2025-04-16T20:34:45Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin,,"{'label': 'neutral', 'score': 0.7187529802322388}",neutral,0.7187529802322388,"{'crypto_entities': [{'text': 'bitcoin', 'type': 'CRYPTO', 'symbol': 'BTC', 'score': 1.0, 'start': 0, 'end': 7}], 'money_entities': [], 'percentage_entities': []}","{'label': 'neutral', 'score': 0.5}",neutral,0.5,"{'crypto_entities': [], 'money_entities': [], 'percentage_entities': []}",0.6531270861625671,positive
news,cointelegraph.com,"{'title': 'CoinTelegraph', 'region': 'en', 'domain': 'cointelegraph.com', 'path': None, 'type': 'feed'}",Public mining firms sold over 40% of their BTC in March — Report,2025-04-16 20:34:07+00:00,Public-mining-firms-sold-over-40-of-their-BTC-in-March-Report,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21114854,https://cryptopanic.com/news/21114854/Public-mining-firms-sold-over-40-of-their-BTC-in-March-Report?mtm_campaign=API-OFA,2025-04-16T20:34:07Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin,,"{'label': 'neutral', 'score': 0.9610853791236877}",neutral,0.9610853791236877,"{'crypto_entities': [{'text': 'btc', 'type': 'CRYPTO', 'symbol': 'BTC', 'score': 1.0, 'start': 42, 'end': 45}], 'money_entities': [], 'percentage_entities': []}","{'label': 'neutral', 'score': 0.5}",neutral,0.5,"{'crypto_entities': [], 'money_entities': [], 'percentage_entities': []}",0.8227597653865814,positive
news,thedefiant.io,"{'title': 'DeFi News', 'region': 'en', 'domain': 'thedefiant.io', 'path': None, 'type': 'feed'}","Solana Tops DEX Volume for Fifth Day, Hits $7.06B TVL and 355.9M Transactions",2025-04-16 20:30:33+00:00,Solana-Tops-DEX-Volume-for-Fifth-Day-Hits-706B-TVL-and-3559M-Transactions,"[{'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}, {'code': 'SOL', 'title': 'Solana', 'slug': 'solana', 'url': 'https://cryptopanic.com/news/solana/'}]",21114807,https://cryptopanic.com/news/21114807/Solana-Tops-DEX-Volume-for-Fifth-Day-Hits-706B-TVL-and-3559M-Transactions?mtm_campaign=API-OFA,2025-04-16T20:30:33Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin,,"{'label': 'neutral', 'score': 0.574842631816864}",neutral,0.574842631816864,"{'crypto_entities': [{'text': 'solana', 'type': 'CRYPTO', 'symbol': 'SOL', 'score': 1.0, 'start': 0, 'end': 6}], 'money_entities': [], 'percentage_entities': []}","{'label': 'neutral', 'score': 0.5}",neutral,0.5,"{'crypto_entities': [], 'money_entities': [], 'percentage_entities': []}",0.5523898422718048,neutral
news,coingape.com,"{'title': 'CoinGape', 'region': 'en', 'domain': 'coingape.com', 'path': None, 'type': 'feed'}",Ethereum Price Faces Selling Pressure from Whales; Will ETH Dip Below $1.5K Again?,2025-04-16 20:30:13+00:00,Ethereum-Price-Faces-Selling-Pressure-from-Whales-Will-ETH-Dip-Below-15K-Again,"[{'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}]",21114838,https://cryptopanic.com/news/21114838/Ethereum-Price-Faces-Selling-Pressure-from-Whales-Will-ETH-Dip-Below-15K-Again?mtm_campaign=API-OFA,2025-04-16T20:30:13Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin,,"{'label': 'neutral', 'score': 0.7829675078392029}",neutral,0.7829675078392029,"{'crypto_entities': [{'text': 'ethereum', 'type': 'CRYPTO', 'symbol': 'ETH', 'score': 1.0, 'start': 0, 'end': 8}, {'text': 'eth', 'type': 'CRYPTO', 'symbol': 'ETH', 'score': 1.0, 'start': 56, 'end': 59}], 'money_entities': [], 'percentage_entities': []}","{'label': 'neutral', 'score': 0.5}",neutral,0.5,"{'crypto_entities': [], 'money_entities': [], 'percentage_entities': []}",0.698077255487442,positive
news,theblock.co,"{'title': 'The Block', 'region': 'en', 'domain': 'theblock.co', 'path': None, 'type': 'feed'}","VanEck aims to launch crypto-related investments ETF next month, offering broad industry exposure through dozens of stocks",2025-04-16 20:26:40+00:00,VanEck-aims-to-launch-crypto-related-investments-ETF-next-month-offering-broad-industry-exposure-through-dozens-of-stocks,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21114803,https://cryptopanic.com/news/21114803/VanEck-aims-to-launch-crypto-related-investments-ETF-next-month-offering-broad-industry-exposure-through-dozens-of-stocks?mtm_campaign=API-OFA,2025-04-16T20:26:40Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin,,"{'label': 'positive', 'score': 0.6706292629241943}",positive,0.6706292629241943,"{'crypto_entities': [], 'money_entities': [], 'percentage_entities': []}","{'label': 'neutral', 'score': 0.5}",neutral,0.5,"{'crypto_entities': [], 'money_entities': [], 'percentage_entities': []}",0.619440484046936,positive
news,zycrypto.com,"{'title': 'ZyCrypto', 'region': 'en', 'domain': 'zycrypto.com', 'path': None, 'type': 'feed'}","Analyst Outlines How Bitcoin Could Reach $137,000 by September",2025-04-16 20:22:23+00:00,Analyst-Outlines-How-Bitcoin-Could-Reach-137000-by-September,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21114800,https://cryptopanic.com/news/21114800/Analyst-Outlines-How-Bitcoin-Could-Reach-137000-by-September?mtm_campaign=API-OFA,2025-04-16T20:22:23Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin,,"{'label': 'neutral', 'score': 0.9154276251792908}",neutral,0.9154276251792908,"{'crypto_entities': [{'text': 'bitcoin', 'type': 'CRYPTO', 'symbol': 'BTC', 'score': 1.0, 'start': 21, 'end': 28}], 'money_entities': [], 'percentage_entities': []}","{'label': 'neutral', 'score': 0.5}",neutral,0.5,"{'crypto_entities': [], 'money_entities': [], 'percentage_entities': []}",0.7907993376255035,positive
news,bitcoin.com,"{'title': 'Bitcoin.com', 'region': 'en', 'domain': 'bitcoin.com', 'path': None, 'type': 'feed'}",Public Bitcoin Miners Sell 40% of Mined BTC Amid Rising Cost Pressures,2025-04-16 20:15:27+00:00,Public-Bitcoin-Miners-Sell-40-of-Mined-BTC-Amid-Rising-Cost-Pressures,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21114753,https://cryptopanic.com/news/21114753/Public-Bitcoin-Miners-Sell-40-of-Mined-BTC-Amid-Rising-Cost-Pressures?mtm_campaign=API-OFA,2025-04-16T20:15:27Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin,,"{'label': 'neutral', 'score': 0.7448963522911072}",neutral,0.7448963522911072,"{'crypto_entities': [{'text': 'bitcoin', 'type': 'CRYPTO', 'symbol': 'BTC', 'score': 1.0, 'start': 7, 'end': 14}, {'text': 'btc', 'type': 'CRYPTO', 'symbol': 'BTC', 'score': 1.0, 'start': 39, 'end': 42}], 'money_entities': [], 'percentage_entities': []}","{'label': 'neutral', 'score': 0.5}",neutral,0.5,"{'crypto_entities': [], 'money_entities': [], 'percentage_entities': []}",0.6714274466037751,positive
