kind,domain,source,title,published_at,slug,currencies,id,url,created_at,votes,coin
news,altcoinbuzz.io,"{'title': 'Altcoinbuzz', 'region': 'en', 'domain': 'altcoinbuzz.io', 'path': None, 'type': 'feed'}",What Happened to Mantra? Token Plunges Over 90%,2025-04-14 14:17:05+00:00,What-Happened-to-Mantra-Token-Plunges-Over-90,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21072347,https://cryptopanic.com/news/21072347/What-Happened-to-Mantra-Token-Plunges-Over-90?mtm_campaign=API-OFA,2025-04-14T14:17:05Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin
news,zycrypto.com,"{'title': 'ZyCrypto', 'region': 'en', 'domain': 'zycrypto.com', 'path': None, 'type': 'feed'}",Vitalik Buterin Says “Good Social Philosophy” is Needed for the Upper Layers of Ethereum,2025-04-14 14:07:43+00:00,Vitalik-Buterin-Says-Good-Social-Philosophy-is-Needed-for-the-Upper-Layers-of-Ethereum,"[{'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}]",21072124,https://cryptopanic.com/news/21072124/Vitalik-Buterin-Says-Good-Social-Philosophy-is-Needed-for-the-Upper-Layers-of-Ethereum?mtm_campaign=API-OFA,2025-04-14T14:07:43Z,"{'negative': 0, 'positive': 1, 'important': 1, 'liked': 1, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin
news,cryptopolitan.com,"{'title': 'Feed - Cryptopolitan.Com', 'region': 'en', 'domain': 'cryptopolitan.com', 'path': None, 'type': 'feed'}","Strategy acquires 3,459 BTC in widely anticipated purchase",2025-04-14 14:04:10+00:00,Strategy-acquires-3459-BTC-in-widely-anticipated-purchase,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21072114,https://cryptopanic.com/news/21072114/Strategy-acquires-3459-BTC-in-widely-anticipated-purchase?mtm_campaign=API-OFA,2025-04-14T14:04:10Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin
news,ambcrypto.com,"{'title': 'AMBCrypto', 'region': 'en', 'domain': 'ambcrypto.com', 'path': None, 'type': 'feed'}",Bitcoin whale activity drops by $3B – What next for BTC’s recovery,2025-04-14 14:00:26+00:00,Bitcoin-whale-activity-drops-by-3B-What-next-for-BTCs-recovery,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': '$1', 'title': 'just buy $1 worth of this coin', 'slug': 'just-buy-1-worth-of-this-coin', 'url': 'https://cryptopanic.com/news/just-buy-1-worth-of-this-coin/'}]",21071725,https://cryptopanic.com/news/21071725/Bitcoin-whale-activity-drops-by-3B-What-next-for-BTCs-recovery?mtm_campaign=API-OFA,2025-04-14T14:00:26Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin
news,feeds2.benzinga.com,"{'title': 'Benzinga', 'region': 'en', 'domain': 'feeds2.benzinga.com', 'path': None, 'type': 'feed'}","Strategy Adds 3,459 Bitcoin Despite Q1 Losses, Holds 2.5% Of BTC Supply",2025-04-14 13:59:20+00:00,Strategy-Adds-3459-Bitcoin-Despite-Q1-Losses-Holds-25-Of-BTC-Supply,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'MSTR', 'title': 'MSTR2100', 'slug': 'mstr2100', 'url': 'https://cryptopanic.com/news/mstr2100/'}]",21072230,https://cryptopanic.com/news/21072230/Strategy-Adds-3459-Bitcoin-Despite-Q1-Losses-Holds-25-Of-BTC-Supply?mtm_campaign=API-OFA,2025-04-14T13:59:20Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin
news,zycrypto.com,"{'title': 'ZyCrypto', 'region': 'en', 'domain': 'zycrypto.com', 'path': None, 'type': 'feed'}",Metaplanet Boosts Bitcoin Bet With Additional $26 Million Purchase Amid Macroeconomic Turmoil,2025-04-14 13:56:17+00:00,Metaplanet-Boosts-Bitcoin-Bet-With-Additional-26-Million-Purchase-Amid-Macroeconomic-Turmoil,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21071530,https://cryptopanic.com/news/21071530/Metaplanet-Boosts-Bitcoin-Bet-With-Additional-26-Million-Purchase-Amid-Macroeconomic-Turmoil?mtm_campaign=API-OFA,2025-04-14T13:56:17Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin
news,atlas21.com,"{'title': 'Atlas21', 'region': 'en', 'domain': 'atlas21.com', 'path': None, 'type': 'feed'}",Mining: Tether directs its hashrate to Ocean,2025-04-14 13:47:23+00:00,Mining-Tether-directs-its-hashrate-to-Ocean,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'USDT', 'title': 'Tether', 'slug': 'tether', 'url': 'https://cryptopanic.com/news/tether/'}]",21071463,https://cryptopanic.com/news/21071463/Mining-Tether-directs-its-hashrate-to-Ocean?mtm_campaign=API-OFA,2025-04-14T13:47:23Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin
news,cointelegraph.com,"{'title': 'CoinTelegraph', 'region': 'en', 'domain': 'cointelegraph.com', 'path': None, 'type': 'feed'}",Ethereum co-founder Vitalik Buterin: ‘privacy is freedom’,2025-04-14 13:43:08+00:00,Ethereum-co-founder-Vitalik-Buterin-privacy-is-freedom,"[{'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}]",21071479,https://cryptopanic.com/news/21071479/Ethereum-co-founder-Vitalik-Buterin-privacy-is-freedom?mtm_campaign=API-OFA,2025-04-14T13:43:08Z,"{'negative': 1, 'positive': 1, 'important': 1, 'liked': 1, 'disliked': 1, 'lol': 1, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin
news,coinpedia.org,"{'title': 'coinpedia', 'region': 'en', 'domain': 'coinpedia.org', 'path': None, 'type': 'feed'}",Swedish MP Calls for Review of National Bitcoin Reserve,2025-04-14 13:32:39+00:00,Swedish-MP-Calls-for-Review-of-National-Bitcoin-Reserve,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21071364,https://cryptopanic.com/news/21071364/Swedish-MP-Calls-for-Review-of-National-Bitcoin-Reserve?mtm_campaign=API-OFA,2025-04-14T13:32:39Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin
news,beincrypto.com,"{'title': 'BeInCrypto', 'region': 'en', 'domain': 'beincrypto.com', 'path': None, 'type': 'feed'}",Japan Bond Yields Surge to Highest Level in 20 Years—What It Means for Bitcoin | US Crypto News,2025-04-14 13:32:37+00:00,Japan-Bond-Yields-Surge-to-Highest-Level-in-20-YearsWhat-It-Means-for-Bitcoin-US-Crypto-News,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21072231,https://cryptopanic.com/news/21072231/Japan-Bond-Yields-Surge-to-Highest-Level-in-20-YearsWhat-It-Means-for-Bitcoin-US-Crypto-News?mtm_campaign=API-OFA,2025-04-14T13:32:37Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin
